,id,target,path
0,0fba0d9f66_d1,0,/media/aleks/Games/KaggleData/Kaggle_GWData_final/train/0/f/b/0fba0d9f66_d1.npy
1,0fba0d9f66_d2,0,/media/aleks/Games/KaggleData/Kaggle_GWData_final/train/0/f/b/0fba0d9f66_d2.npy
2,0fba0d9f66_d3,0,/media/aleks/Games/KaggleData/Kaggle_GWData_final/train/0/f/b/0fba0d9f66_d3.npy
3,662c27a630_d1,1,/media/aleks/Games/KaggleData/Kaggle_GWData_final/train/6/6/2/662c27a630_d1.npy
4,662c27a630_d2,1,/media/aleks/Games/KaggleData/Kaggle_GWData_final/train/6/6/2/662c27a630_d2.npy
5,662c27a630_d3,1,/media/aleks/Games/KaggleData/Kaggle_GWData_final/train/6/6/2/662c27a630_d3.npy
6,3246d3d5e7_d1,0,/media/aleks/Games/KaggleData/Kaggle_GWData_final/train/3/2/4/3246d3d5e7_d1.npy
7,3246d3d5e7_d2,0,/media/aleks/Games/KaggleData/Kaggle_GWData_final/train/3/2/4/3246d3d5e7_d2.npy
8,3246d3d5e7_d3,0,/media/aleks/Games/KaggleData/Kaggle_GWData_final/train/3/2/4/3246d3d5e7_d3.npy
9,a6ef7a6781_d1,1,/media/aleks/Games/KaggleData/Kaggle_GWData_final/train/a/6/e/a6ef7a6781_d1.npy
10,a6ef7a6781_d2,1,/media/aleks/Games/KaggleData/Kaggle_GWData_final/train/a/6/e/a6ef7a6781_d2.npy
11,a6ef7a6781_d3,1,/media/aleks/Games/KaggleData/Kaggle_GWData_final/train/a/6/e/a6ef7a6781_d3.npy
12,8ea5d8a7e0_d1,0,/media/aleks/Games/KaggleData/Kaggle_GWData_final/train/8/e/a/8ea5d8a7e0_d1.npy
13,8ea5d8a7e0_d2,0,/media/aleks/Games/KaggleData/Kaggle_GWData_final/train/8/e/a/8ea5d8a7e0_d2.npy
14,8ea5d8a7e0_d3,0,/media/aleks/Games/KaggleData/Kaggle_GWData_final/train/8/e/a/8ea5d8a7e0_d3.npy
15,d4d6acbf6b_d1,0,/media/aleks/Games/KaggleData/Kaggle_GWData_final/train/d/4/d/d4d6acbf6b_d1.npy
16,d4d6acbf6b_d2,0,/media/aleks/Games/KaggleData/Kaggle_GWData_final/train/d/4/d/d4d6acbf6b_d2.npy
17,d4d6acbf6b_d3,0,/media/aleks/Games/KaggleData/Kaggle_GWData_final/train/d/4/d/d4d6acbf6b_d3.npy
18,2d2889b5c3_d1,0,/media/aleks/Games/KaggleData/Kaggle_GWData_final/train/2/d/2/2d2889b5c3_d1.npy
19,2d2889b5c3_d2,0,/media/aleks/Games/KaggleData/Kaggle_GWData_final/train/2/d/2/2d2889b5c3_d2.npy
20,2d2889b5c3_d3,0,/media/aleks/Games/KaggleData/Kaggle_GWData_final/train/2/d/2/2d2889b5c3_d3.npy
21,42a8c975d4_d1,0,/media/aleks/Games/KaggleData/Kaggle_GWData_final/train/4/2/a/42a8c975d4_d1.npy
22,42a8c975d4_d2,0,/media/aleks/Games/KaggleData/Kaggle_GWData_final/train/4/2/a/42a8c975d4_d2.npy
23,42a8c975d4_d3,0,/media/aleks/Games/KaggleData/Kaggle_GWData_final/train/4/2/a/42a8c975d4_d3.npy
24,3e5870d63d_d1,1,/media/aleks/Games/KaggleData/Kaggle_GWData_final/train/3/e/5/3e5870d63d_d1.npy
25,3e5870d63d_d2,1,/media/aleks/Games/KaggleData/Kaggle_GWData_final/train/3/e/5/3e5870d63d_d2.npy
26,3e5870d63d_d3,1,/media/aleks/Games/KaggleData/Kaggle_GWData_final/train/3/e/5/3e5870d63d_d3.npy
27,70219e19e8_d1,0,/media/aleks/Games/KaggleData/Kaggle_GWData_final/train/7/0/2/70219e19e8_d1.npy
28,70219e19e8_d2,0,/media/aleks/Games/KaggleData/Kaggle_GWData_final/train/7/0/2/70219e19e8_d2.npy
29,70219e19e8_d3,0,/media/aleks/Games/KaggleData/Kaggle_GWData_final/train/7/0/2/70219e19e8_d3.npy
30,8c9a29e471_d1,1,/media/aleks/Games/KaggleData/Kaggle_GWData_final/train/8/c/9/8c9a29e471_d1.npy
31,8c9a29e471_d2,1,/media/aleks/Games/KaggleData/Kaggle_GWData_final/train/8/c/9/8c9a29e471_d2.npy
32,8c9a29e471_d3,1,/media/aleks/Games/KaggleData/Kaggle_GWData_final/train/8/c/9/8c9a29e471_d3.npy
33,908603e6db_d1,0,/media/aleks/Games/KaggleData/Kaggle_GWData_final/train/9/0/8/908603e6db_d1.npy
34,908603e6db_d2,0,/media/aleks/Games/KaggleData/Kaggle_GWData_final/train/9/0/8/908603e6db_d2.npy
35,908603e6db_d3,0,/media/aleks/Games/KaggleData/Kaggle_GWData_final/train/9/0/8/908603e6db_d3.npy
36,e44658074a_d1,1,/media/aleks/Games/KaggleData/Kaggle_GWData_final/train/e/4/4/e44658074a_d1.npy
37,e44658074a_d2,1,/media/aleks/Games/KaggleData/Kaggle_GWData_final/train/e/4/4/e44658074a_d2.npy
38,e44658074a_d3,1,/media/aleks/Games/KaggleData/Kaggle_GWData_final/train/e/4/4/e44658074a_d3.npy
39,e10f50af3e_d1,0,/media/aleks/Games/KaggleData/Kaggle_GWData_final/train/e/1/0/e10f50af3e_d1.npy
40,e10f50af3e_d2,0,/media/aleks/Games/KaggleData/Kaggle_GWData_final/train/e/1/0/e10f50af3e_d2.npy
41,e10f50af3e_d3,0,/media/aleks/Games/KaggleData/Kaggle_GWData_final/train/e/1/0/e10f50af3e_d3.npy
42,e743d3844a_d1,0,/media/aleks/Games/KaggleData/Kaggle_GWData_final/train/e/7/4/e743d3844a_d1.npy
43,e743d3844a_d2,0,/media/aleks/Games/KaggleData/Kaggle_GWData_final/train/e/7/4/e743d3844a_d2.npy
44,e743d3844a_d3,0,/media/aleks/Games/KaggleData/Kaggle_GWData_final/train/e/7/4/e743d3844a_d3.npy
45,57c90468d7_d1,0,/media/aleks/Games/KaggleData/Kaggle_GWData_final/train/5/7/c/57c90468d7_d1.npy
46,57c90468d7_d2,0,/media/aleks/Games/KaggleData/Kaggle_GWData_final/train/5/7/c/57c90468d7_d2.npy
47,57c90468d7_d3,0,/media/aleks/Games/KaggleData/Kaggle_GWData_final/train/5/7/c/57c90468d7_d3.npy
48,0292595352_d1,1,/media/aleks/Games/KaggleData/Kaggle_GWData_final/train/0/2/9/0292595352_d1.npy
49,0292595352_d2,1,/media/aleks/Games/KaggleData/Kaggle_GWData_final/train/0/2/9/0292595352_d2.npy
50,0292595352_d3,1,/media/aleks/Games/KaggleData/Kaggle_GWData_final/train/0/2/9/0292595352_d3.npy
51,6db1730109_d1,0,/media/aleks/Games/KaggleData/Kaggle_GWData_final/train/6/d/b/6db1730109_d1.npy
52,6db1730109_d2,0,/media/aleks/Games/KaggleData/Kaggle_GWData_final/train/6/d/b/6db1730109_d2.npy
53,6db1730109_d3,0,/media/aleks/Games/KaggleData/Kaggle_GWData_final/train/6/d/b/6db1730109_d3.npy
54,b7a5dd5b61_d1,0,/media/aleks/Games/KaggleData/Kaggle_GWData_final/train/b/7/a/b7a5dd5b61_d1.npy
55,b7a5dd5b61_d2,0,/media/aleks/Games/KaggleData/Kaggle_GWData_final/train/b/7/a/b7a5dd5b61_d2.npy
56,b7a5dd5b61_d3,0,/media/aleks/Games/KaggleData/Kaggle_GWData_final/train/b/7/a/b7a5dd5b61_d3.npy
57,1edc1f923a_d1,1,/media/aleks/Games/KaggleData/Kaggle_GWData_final/train/1/e/d/1edc1f923a_d1.npy
58,1edc1f923a_d2,1,/media/aleks/Games/KaggleData/Kaggle_GWData_final/train/1/e/d/1edc1f923a_d2.npy
59,1edc1f923a_d3,1,/media/aleks/Games/KaggleData/Kaggle_GWData_final/train/1/e/d/1edc1f923a_d3.npy
60,7321fe82b2_d1,0,/media/aleks/Games/KaggleData/Kaggle_GWData_final/train/7/3/2/7321fe82b2_d1.npy
61,7321fe82b2_d2,0,/media/aleks/Games/KaggleData/Kaggle_GWData_final/train/7/3/2/7321fe82b2_d2.npy
62,7321fe82b2_d3,0,/media/aleks/Games/KaggleData/Kaggle_GWData_final/train/7/3/2/7321fe82b2_d3.npy
63,e5b24da2d2_d1,0,/media/aleks/Games/KaggleData/Kaggle_GWData_final/train/e/5/b/e5b24da2d2_d1.npy
64,e5b24da2d2_d2,0,/media/aleks/Games/KaggleData/Kaggle_GWData_final/train/e/5/b/e5b24da2d2_d2.npy
65,e5b24da2d2_d3,0,/media/aleks/Games/KaggleData/Kaggle_GWData_final/train/e/5/b/e5b24da2d2_d3.npy
66,733dd6f19b_d1,0,/media/aleks/Games/KaggleData/Kaggle_GWData_final/train/7/3/3/733dd6f19b_d1.npy
67,733dd6f19b_d2,0,/media/aleks/Games/KaggleData/Kaggle_GWData_final/train/7/3/3/733dd6f19b_d2.npy
68,733dd6f19b_d3,0,/media/aleks/Games/KaggleData/Kaggle_GWData_final/train/7/3/3/733dd6f19b_d3.npy
69,e1b50f3613_d1,1,/media/aleks/Games/KaggleData/Kaggle_GWData_final/train/e/1/b/e1b50f3613_d1.npy
70,e1b50f3613_d2,1,/media/aleks/Games/KaggleData/Kaggle_GWData_final/train/e/1/b/e1b50f3613_d2.npy
71,e1b50f3613_d3,1,/media/aleks/Games/KaggleData/Kaggle_GWData_final/train/e/1/b/e1b50f3613_d3.npy
